ID,Title,Alt Title,Special Mode Title,Locations,Comments
0,None,0,0,0,0
1,None,0,0,0,Empty sound
2,Prelude - Rebirth,0,0,A Realm Reborn title,0
3,Dreams Aloft,0,0,Cid cutscenes,"Old launcher theme, from 1.0"
4,Prelude - Discoveries,0,0,Character Select & Creation,0
5,Behind Closed Doors,0,0,Inn theme,0
6,Wailers and Waterwheels,0,0,Gridania (day),0
7,Dance of the Fireflies,0,0,Gridania (night),0
8,Serenity,0,0,Central/North Shroud,0
9,Serenity,0,0,Black Shroud sanctuaries,0
10,Serenity,0,0,The Black Shroud,0
11,Serenity,0,0,South Shroud,0
12,Serenity,0,0,Sanctum of the Twelve,0
13,The Land Bends,0,0,The Black Shroud combat,0
14,Tenacity,0,0,Leves,0
15,Slumber Disturbed,0,0,The Tam-Tara Deepcroft,0
16,The Promise of Plunder,0,0,Early ARR Dungeons,0
17,The Dark's Embrace,0,The Dark's Kiss,ARR HM Dungeons,0
18,Victory!,0,0,End of most instances,0
19,0,0,0,0,0
20,Victory!,0,0,End of most instances,No vocals 21
21,Victory!,0,0,End of most instances,0
22,???,0,0,Frontlines,Gate open theme
23,The Hero of Hatchingtide,0,0,0,Chiptune version of 21 (Victory)
24,Greenwrath,0,0,East Shroud,0
25,I Am the Sea,0,0,Limsa Lominsa (day),0
26,A Sailor Never Sleeps,0,0,Limsa Lominsa,0
27,On Westerly Winds,0,0,Middle/Lower La Noscea,0
28,On Westerly Winds,0,0,La Noscea,0
29,On Westerly Winds,0,0,Eastern La Noscea,0
30,On Westerly Winds,0,0,Eastern La Noscea,0
31,On Westerly Winds,0,0,La Noscean sanctuaries,0
32,Currents,0,0,La Noscea,0
33,The Land Breathes,0,0,La Noscea combat,0
34,0,0,0,0,0
35,From the Depths,0,0,Sastasha,0
36,Torn from the Heavens,0,0,Various,0
37,A Fine Death,0,0,ARR Dungeon bosses,0
38,Nemesis,0,0,ARR Dungeon final bosses,0
39,Pennons Aloft,0,0,Instanced battles,0
40,Brothers in Arms,0,0,Guildhests,0
41,The Maiden's Lament,0,0,Haukke Manor,0
42,A Thousand Screams,0,0,The Thousand Maws of Toto-Rak,0
43,Lipflaps on Longstops,0,0,Brayflox's Longstop,0
44,A New Hope,0,0,Ul'dah (day),0
45,Sultana Dreaming,0,0,Ul'dah (night),0
46,To the Sun,0,0,Western/Central Thanalan,0
47,To the Sun,0,0,Thanalan,0
48,To the Sun,0,0,Southern Thanalan,0
49,To the Sun,0,0,Thanalan sanctuaries,0
50,To the Sun,0,0,Thanalan,0
51,Fleeting Rays,0,0,Eastern Thanalan,0
52,The Land Burns,0,0,Thanalan combat,0
53,Below,0,0,Copperbell Mines,0
54,The Ludus,0,0,Halatali,0
55,The Gift of Life,0,0,ARR Sanctuaries,0
56,Calling,0,0,0,0
57,Discordance,0,0,Northern Thanalan,0
58,Beyond the Unknown,0,0,Cutscene (Edda),Very short
59,Slither,0,0,Northern Thanalan outskirts,Very short and sounds similar to Discordance
60,Intertwined,0,0,Mor Dhona,0
61,Bo-down,0,0,Chocobo porters,0
62,Eorzea de Chocobo,Born to Ride,0,Chocobo mounts,0
63,Into the Adder's Den,0,0,Twin Adder command,0
64,Maelstrom Command,0,0,Maelstrom command,0
65,The Hall of Flames,0,0,Immortal Flames command,0
66,The Waking Sands,0,0,Western Thanalan,0
67,When a Tree Falls,0,0,Leves,0
68,The Tug of Fate,0,0,Certain FATEs,0
69,To the Fore,0,0,Certain FATEs/Boss battles,0
70,Whisper of the Land,0,0,Cutscenes (1.0),0
