ID,Title,Alt Title,Special Mode Title,Locations,Comments
0,無,,,0,0
1,無,,,0,Empty sound
2,プレリュード　〜再誕の煌めき〜,,,A Realm Reborn title,0
3,夢見るは遙かなる空,,,Cid cutscenes,"Old launcher theme, from 1.0"
4,プレリュード　〜冒険の序章〜,,,Character Select & Creation,0
5,安らぎの部屋,,,Inn theme,0
6,水車の調べ,,,Gridania (day),0
7,蛍たちの舞踏会,,,Gridania (night),0
8,静穏の森,,,Central/North Shroud,0
9,静穏の森,,,Black Shroud sanctuaries,0
10,静穏の森,,,The Black Shroud,0
11,静穏の森,,,South Shroud,0
12,静穏の森,,,Sanctum of the Twelve,0
13,森の鼓動,,,The Black Shroud combat,0
14,不屈の闘志,,,Leves,0
15,妨げられた眠り,,,The Tam-Tara Deepcroft,0
16,隠し財宝を求めて,,,Early ARR Dungeons,0
17,闇の抱擁,,闇の口付,ARR HM Dungeons,0
18,勝利のファンファーレ　〜新生〜,,,End of most instances,0
19,,,,0,0
20,勝利のファンファーレ　〜新生〜,,,End of most instances,No vocals 21
21,勝利のファンファーレ　〜新生〜,,,End of most instances,0
22,???,,,Frontlines,Gate open theme
23,エッグハントの英雄,,,0,Chiptune version of 21 (Victory)
24,精霊の意思,,,East Shroud,0
25,偉大なる母港,,,Limsa Lominsa (day),0
26,船乗りは眠らない,,,Limsa Lominsa,0
27,西風に乗せて ,,,Middle/Lower La Noscea,0
28,西風に乗せて ,,,La Noscea,0
29,西風に乗せて ,,,Eastern La Noscea,0
30,西風に乗せて ,,,Eastern La Noscea,0
31,西風に乗せて ,,,La Noscean sanctuaries,0
32,潮流,,,La Noscea,0
33,大地の鼓動,,,La Noscea combat,0
34,,,,0,0
35,仄暗い底から ,,,Sastasha,0
36,天より降りし力,,,Various,0
37,名誉に賭けて,,,ARR Dungeon bosses,0
38,ネメシス,,,ARR Dungeon final bosses,0
39,槍旗,,,Instanced battles,0
40,戦友,,,Guildhests,0
41,乙女の哀歌,,,Haukke Manor,0
42,千の悲鳴,,,The Thousand Maws of Toto-Rak,0
43,野営地のお調子者,,,Brayflox's Longstop,0
44,希望の都,,,Ul'dah (day),0
45,夢見る女王陛下,,,Ul'dah (night),0
46,灼熱の地へ,,,Western/Central Thanalan,0
47,灼熱の地へ,,,Thanalan,0
48,灼熱の地へ,,,Southern Thanalan,0
49,灼熱の地へ,,,Thanalan sanctuaries,0
50,灼熱の地へ,,,Thanalan,0
51,儚き光彩,,,Eastern Thanalan,0
52,荒野の鼓動,,,Thanalan combat,0
53,地下坑道,,,Copperbell Mines,0
54,闘士の修練所 ,,,Halatali,0
55,生命の賜物 ,,,ARR Sanctuaries,0
56,星の囁き,,,0,0
57,不調和,,,Northern Thanalan,0
58,未知の領域へ,,,Cutscene (Edda),Very short
59,五里霧中,,,Northern Thanalan outskirts,Very short and sounds similar to Discordance
60,交錯,,,Mor Dhona,0
61,レンタル de チョコボ,,,Chocobo porters,0
62,エオルゼア de チョコボ,,,Chocobo mounts,0
63,双蛇党統合司令部,,,Twin Adder command,0
64,黒渦団軍令部,,,Maelstrom command,0
65,不滅隊作戦本部,,,Immortal Flames command,0
66,砂の家,,,Western Thanalan,0
67,汗を流して,,,Leves,0
68,運命の導き,,,Certain FATEs,0
69,全隊前へ！,,,Certain FATEs/Boss battles,0
70,冥き地の底に,,,Cutscenes (1.0),0
71,ラノシアの疾風,,,Cutscenes (1.0),0
72,ザナラーンの黄昏,,,Cutscenes (1.0),0
73,露の玉、月の光,,,The Lotus Stand (Kan-E-Senna),0
74,砂の機密,,,Eorzean Alliance (Raubahn),0
75,洋上の小波,,,Eorzean Alliance (Merlwyb),0
76,帝国の意志,,,Cutscenes (Empire),0
77,エオルゼアの守護者,,,Cutscenes (Heroic),0
78,不穏な気配,,,Cutscenes (Suspense),0
79,血脈,,,Cutscenes (Tension),0
80,堂々巡り,,,Cutscenes (Mysterious/Hildibrand),0
81,プレリュード　〜再誕の煌めき〜 ,,,Cutscenes,Remix with a slightly different harp
82,英雄の凱旋,,,Cutscenes (Resolution),0
83,混沌の予感,,,Cutscenes (Tension),0
